# End-to-end autoencoder: TX-DSP FC 16 + Asfand RX (FC 64-128-32, sigmoid, window 6 symbols).
# C-band 10.238 km, MZM ER 30 dB Vpeak 0.6, no TX Gaussian, WSS filter, RX 10 GHz Gaussian,
# N_DAC=6, 2 sps. vs BPAM + adaptive LLS equalizer (same chain, NRZ TX). OSNR = Eb/N0 + 2.05 dB.
#
#        OSNR       E2E_adc8       E2E_adc6       E2E_adc5      AdEq_adc8      AdEq_adc6      AdEq_adc5
    11     3.9600e-02     4.0194e-02     4.4074e-02     7.0894e-02     7.3482e-02     8.1176e-02
    12     2.2458e-02     2.2907e-02     2.5623e-02     4.9814e-02     5.2712e-02     6.0561e-02
    13     1.1310e-02     1.1606e-02     1.3482e-02     3.3224e-02     3.5214e-02     4.2778e-02
    14     5.0680e-03     5.1919e-03     6.3632e-03     2.0533e-02     2.2219e-02     2.8404e-02
    15     1.9109e-03     1.9643e-03     2.5822e-03     1.1501e-02     1.2996e-02     1.7755e-02
    16     6.3252e-04     6.5552e-04     9.9778e-04     5.8219e-03     6.7045e-03     1.0346e-02
    17     1.6788e-04     1.7988e-04     2.7910e-04     2.6286e-03     3.1934e-03     5.7110e-03
    18     4.1250e-05     4.2719e-05     7.2157e-05     1.0134e-03     1.3405e-03     2.9853e-03
    19     9.7188e-06     1.0250e-05     1.8625e-05     3.3408e-04     4.7231e-04     1.4391e-03
    20     1.8125e-06     2.9063e-06     4.3438e-06     8.8978e-05     1.4404e-04     7.0014e-04
