# End-to-end autoencoder trained and tested through a fitted hybrid digital surrogate, C-band 10.238 km, MZM ER 30 dB, TX 20 GHz rect, WSS optical filter,
# RX 10 GHz Gaussian, N_DAC = 6, 2 samples/symbol. RX-DSP = fully connected 64-128-32 with
# sigmoid output, context window 6 symbols (12 samples); TX-DSP = fully connected 16.
# OSNR = Eb/N0 + 2.05 dB (signal 1 pol, ASE 2 pol, Bref 12.5 GHz).

# columns:
#       OSNR[dB]          E2E_adc8          E2E_adc6          E2E_adc5      BPAM_AE_adc8      BPAM_AE_adc6      BPAM_AE_adc5

   11.00        3.9096e-02        4.0764e-02        4.4073e-02        7.0894e-02        7.3482e-02        8.1176e-02
   12.00        2.2174e-02        2.3105e-02        2.6306e-02        4.9814e-02        5.2712e-02        6.0561e-02
   13.00        1.1175e-02        1.1882e-02        1.3944e-02        3.3224e-02        3.5214e-02        4.2778e-02
   14.00        4.8422e-03        5.4040e-03        6.4987e-03        2.0533e-02        2.2219e-02        2.8404e-02
   15.00        1.8788e-03        2.1116e-03        2.6968e-03        1.1501e-02        1.2996e-02        1.7755e-02
   16.00        6.1302e-04        7.1702e-04        1.0144e-03        5.8219e-03        6.7045e-03        1.0346e-02
   17.00        1.7300e-04        2.1375e-04        3.3391e-04        2.6286e-03        3.1934e-03        5.7110e-03
   18.00        4.4375e-05        5.6875e-05        1.0031e-04        1.0134e-03        1.3405e-03        2.9853e-03
   19.00        9.4376e-06        1.3000e-05        2.7781e-05        3.3408e-04        4.7231e-04        1.4391e-03
   20.00        1.8438e-06        2.8438e-06        5.5000e-06        8.8978e-05        1.4404e-04        7.0014e-04
