# BPAM + adaptive LLS equalizer (prof simulator), aligned to the Fig.10 scenario:
# 20 GBaud, C-band 10.238 km (beta2=-21.7 ps^2/km), MZM ER25 Vpeak0.6, N_DAC=6,
# TX 10GHz Gaussian, WSS B=1.6 BWotf=18GHz, post-detection 10GHz Gaussian,
# 2 samples/symbol, adaptive LLS equalizer Lc=Ld=11, ASE on 2 polarizations.
# SNR = Es/N0 (simulator input); Eb/N0 = SNR - 3.01 dB (m=2);
# OSNR = Eb/N0 + 2.05 dB (Luca 16/7: signal 1 pol, ASE 2 pol, Bref 12.5 GHz).
# col1=N_ADC  col2=SNR(Es/N0)[dB]  col3=EbN0[dB]  col4=OSNR[dB]  col5=BER
   8   12.00    8.99   11.04  7.9201e-02
   8   13.00    9.99   12.04  5.6403e-02
   8   14.00   10.99   13.04  3.8052e-02
   8   15.00   11.99   14.04  2.3960e-02
   8   16.00   12.99   15.04  1.3646e-02
   8   17.00   13.99   16.04  7.1413e-03
   8   18.00   14.99   17.04  3.3295e-03
   8   19.00   15.99   18.04  1.3454e-03
   8   20.00   16.99   19.04  4.6886e-04
   8   21.00   17.99   20.04  1.3259e-04
   6   12.00    8.99   11.04  8.1329e-02
   6   13.00    9.99   12.04  5.8862e-02
   6   14.00   10.99   13.04  3.9678e-02
   6   15.00   11.99   14.04  2.5249e-02
   6   16.00   12.99   15.04  1.5124e-02
   6   17.00   13.99   16.04  8.0181e-03
   6   18.00   14.99   17.04  3.9703e-03
   6   19.00   15.99   18.04  1.7729e-03
   6   20.00   16.99   19.04  6.8820e-04
   6   21.00   17.99   20.04  2.4037e-04
   5   12.00    8.99   11.04  8.8014e-02
   5   13.00    9.99   12.04  6.5581e-02
   5   14.00   10.99   13.04  4.5856e-02
   5   15.00   11.99   14.04  3.0818e-02
   5   16.00   12.99   15.04  1.9303e-02
   5   17.00   13.99   16.04  1.1510e-02
   5   18.00   14.99   17.04  6.5839e-03
   5   19.00   15.99   18.04  3.5518e-03
   5   20.00   16.99   19.04  1.8290e-03
   5   21.00   17.99   20.04  9.3137e-04
