# BPAM + adaptive LLS equalizer (prof simulator), aligned to the Fig.10 scenario:
# 20 GBaud, C-band 10.238 km (beta2=-21.7 ps^2/km), MZM ER30 Vpeak0.6, N_DAC=6,
# TX NRZ (NO Gaussian), WSS B=1.6 BWotf=18GHz, post-detection 10GHz Gaussian,
# 2 samples/symbol, adaptive LLS equalizer Lc=Ld=11, ASE on 2 polarizations.
# SNR = Es/N0 (simulator input); Eb/N0 = SNR - 3.01 dB (m=2);
# OSNR = Eb/N0 + 2.05 dB (Luca 16/7: signal 1 pol, ASE 2 pol, Bref 12.5 GHz).
# col1=N_ADC  col2=SNR(Es/N0)[dB]  col3=EbN0[dB]  col4=OSNR[dB]  col5=BER
   8   11.96    8.95   11.00  7.0894e-02
   8   12.96    9.95   12.00  4.9814e-02
   8   13.96   10.95   13.00  3.3224e-02
   8   14.96   11.95   14.00  2.0533e-02
   8   15.96   12.95   15.00  1.1501e-02
   8   16.96   13.95   16.00  5.8219e-03
   8   17.96   14.95   17.00  2.6286e-03
   8   18.96   15.95   18.00  1.0134e-03
   8   19.96   16.95   19.00  3.3408e-04
   8   20.96   17.95   20.00  8.8978e-05
   6   11.96    8.95   11.00  7.3482e-02
   6   12.96    9.95   12.00  5.2712e-02
   6   13.96   10.95   13.00  3.5214e-02
   6   14.96   11.95   14.00  2.2219e-02
   6   15.96   12.95   15.00  1.2996e-02
   6   16.96   13.95   16.00  6.7045e-03
   6   17.96   14.95   17.00  3.1934e-03
   6   18.96   15.95   18.00  1.3405e-03
   6   19.96   16.95   19.00  4.7231e-04
   6   20.96   17.95   20.00  1.4404e-04
   5   11.96    8.95   11.00  8.1176e-02
   5   12.96    9.95   12.00  6.0561e-02
   5   13.96   10.95   13.00  4.2778e-02
   5   14.96   11.95   14.00  2.8404e-02
   5   15.96   12.95   15.00  1.7755e-02
   5   16.96   13.95   16.00  1.0346e-02
   5   17.96   14.95   17.00  5.7110e-03
   5   18.96   15.95   18.00  2.9853e-03
   5   19.96   16.95   19.00  1.4391e-03
   5   20.96   17.95   20.00  7.0014e-04
