# BPAM + adaptive LLS equalizer (prof simulator), aligned to the Fig.10 scenario:
# 20 GBaud, C-band 10.238 km (beta2=-21.7 ps^2/km), MZM ER30 Vpeak1, N_DAC=6,
# TX NRZ (NO Gaussian), WSS B=1.6 BWotf=18GHz, post-detection 10GHz Gaussian,
# 2 samples/symbol, adaptive LLS equalizer Lc=Ld=11, ASE on 2 polarizations.
# SNR = Es/N0 (simulator input); Eb/N0 = SNR - 3.01 dB (m=2);
# OSNR = Eb/N0 + 2.05 dB (Luca 16/7: signal 1 pol, ASE 2 pol, Bref 12.5 GHz).
# col1=N_ADC  col2=SNR(Es/N0)[dB]  col3=EbN0[dB]  col4=OSNR[dB]  col5=BER
   8   11.96    8.95   11.00  9.9405e-02
   8   12.96    9.95   12.00  7.7972e-02
   8   13.96   10.95   13.00  6.0338e-02
   8   14.96   11.95   14.00  4.5256e-02
   8   15.96   12.95   15.00  3.3025e-02
   8   16.96   13.95   16.00  2.3269e-02
   8   17.96   14.95   17.00  1.5800e-02
   8   18.96   15.95   18.00  1.0258e-02
   8   19.96   16.95   19.00  6.3288e-03
   8   20.96   17.95   20.00  3.6870e-03
   6   11.96    8.95   11.00  1.0125e-01
   6   12.96    9.95   12.00  8.0035e-02
   6   13.96   10.95   13.00  6.1456e-02
   6   14.96   11.95   14.00  4.6144e-02
   6   15.96   12.95   15.00  3.3870e-02
   6   16.96   13.95   16.00  2.3836e-02
   6   17.96   14.95   17.00  1.6361e-02
   6   18.96   15.95   18.00  1.0679e-02
   6   19.96   16.95   19.00  6.6423e-03
   6   20.96   17.95   20.00  3.9060e-03
   5   11.96    8.95   11.00  1.0670e-01
   5   12.96    9.95   12.00  8.5301e-02
   5   13.96   10.95   13.00  6.5969e-02
   5   14.96   11.95   14.00  4.9774e-02
   5   15.96   12.95   15.00  3.7081e-02
   5   16.96   13.95   16.00  2.6317e-02
   5   17.96   14.95   17.00  1.8194e-02
   5   18.96   15.95   18.00  1.2148e-02
   5   19.96   16.95   19.00  7.7422e-03
   5   20.96   17.95   20.00  4.7189e-03
