# End-to-end autoencoder, C-band 10.238 km, MZM ER 30 dB, TX 20 GHz rect, WSS optical filter,
# RX 10 GHz Gaussian, N_DAC = 6, 2 samples/symbol. RX-DSP = fully connected 32-64-16 with
# sigmoid output, context window 5 symbols (10 samples); TX-DSP = fully connected 16.
# OSNR = Eb/N0 + 2.05 dB (signal 1 pol, ASE 2 pol, Bref 12.5 GHz).

# columns:
#       OSNR[dB]          E2E_adc8          E2E_adc6          E2E_adc5      BPAM_AE_adc8      BPAM_AE_adc6      BPAM_AE_adc5

   11.00        3.9848e-02        4.2345e-02        4.8152e-02        7.0894e-02        7.3482e-02        8.1176e-02
   12.00        2.2957e-02        2.4743e-02        2.7288e-02        4.9814e-02        5.2712e-02        6.0561e-02
   13.00        1.1761e-02        1.2776e-02        1.4962e-02        3.3224e-02        3.5214e-02        4.2778e-02
   14.00        5.3440e-03        5.8373e-03        6.9940e-03        2.0533e-02        2.2219e-02        2.8404e-02
   15.00        2.0752e-03        2.3893e-03        3.0240e-03        1.1501e-02        1.2996e-02        1.7755e-02
   16.00        6.9890e-04        8.0440e-04        1.1643e-03        5.8219e-03        6.7045e-03        1.0346e-02
   17.00        1.9978e-04        2.3285e-04        3.5316e-04        2.6286e-03        3.1934e-03        5.7110e-03
   18.00        4.9438e-05        5.8594e-05        1.0494e-04        1.0134e-03        1.3405e-03        2.9853e-03
   19.00        1.1469e-05        1.4438e-05        2.7406e-05        3.3408e-04        4.7231e-04        1.4391e-03
   20.00        2.0000e-06        2.5313e-06        7.5626e-06        8.8978e-05        1.4404e-04        7.0014e-04
