# End-to-end BPAM-4, C-band 10.238 km, MZM ER 25 dB, TX 20 GHz rect + 10 GHz Gaussian,
# RX 10 GHz Gaussian, N_DAC = 6, 2 samples/symbol. RX-DSP = fully connected 32-64-16 with
# sigmoid output, context window 5 symbols (10 samples); TX-DSP = our DPD (5-symbol memory).
# Trained 100k steps at Eb/N0 = 14 dB. 'diffpre' = differential precoder at the DPD input.
# BPAM + adaptive equalizer: same scenario and same abscissa, simulated with the reference
# MATLAB simulator (LLS equalizer, Lc = Ld = 11). All points are simulated, none interpolated.
# OSNR = Eb/N0 + 2.05 dB (signal 1 pol, ASE 2 pol, Bref 12.5 GHz).
# Recommended set: end-to-end without differential precoder (seed 0) vs reference.
# columns: 1=EbN0[dB]  2=E2E_adc8  3=E2E_adc6  4=E2E_adc5  5=BPAM_AE_adc8  6=BPAM_AE_adc6  7=BPAM_AE_adc5
#       EbN0[dB]          E2E_adc8          E2E_adc6          E2E_adc5      BPAM_AE_adc8      BPAM_AE_adc6      BPAM_AE_adc5
    9.00        3.9425e-02        4.3173e-02        4.9293e-02        8.0167e-02        8.2272e-02        8.8983e-02
   10.00        2.2399e-02        2.4636e-02        2.9599e-02        5.7175e-02        5.9696e-02        6.6429e-02
   11.00        1.1249e-02        1.2689e-02        1.6706e-02        3.8721e-02        4.0344e-02        4.6556e-02
   12.00        4.8904e-03        5.6092e-03        8.1814e-03        2.4474e-02        2.5716e-02        3.1369e-02
   13.00        1.8068e-03        2.1267e-03        3.6456e-03        1.3976e-02        1.5469e-02        1.9680e-02
   14.00        5.5852e-04        6.9577e-04        1.4978e-03        7.3404e-03        8.2374e-03        1.1763e-02
   15.00        1.4600e-04        1.8028e-04        5.0988e-04        3.4391e-03        4.1026e-03        6.7434e-03
   16.00        2.8156e-05        3.7157e-05        1.4791e-04        1.4008e-03        1.8353e-03        3.6383e-03
   17.00        5.1563e-06        5.8125e-06        4.0875e-05        4.9043e-04        7.1526e-04        1.8761e-03
   18.00        6.5626e-07        1.0625e-06        9.8126e-06        1.4036e-04        2.5239e-04        9.5530e-04
