# C-band 10.238 km, MZM ER 30 dB Vpeak 0.6, no TX Gaussian, WSS, RX 10 GHz Gaussian, N_DAC=6, 2 sps.
# OSNR vs. end-to-end autoencoder and vs. BPAM + adaptive LLS equalizer. OSNR = Eb/N0 + 2.05 dB.
#
#        OSNR       E2E_adc8       E2E_adc6       E2E_adc5      AdEq_adc8      AdEq_adc6      AdEq_adc5
    11     4.2008e-02     4.2664e-02     4.7825e-02     7.0894e-02     7.3482e-02     8.1176e-02
    12     2.4343e-02     2.4420e-02     2.7435e-02     4.9814e-02     5.2712e-02     6.0561e-02
    13     1.2572e-02     1.2578e-02     1.4762e-02     3.3224e-02     3.5214e-02     4.2778e-02
    14     5.6898e-03     5.6293e-03     7.0401e-03     2.0533e-02     2.2219e-02     2.8404e-02
    15     2.2032e-03     2.2083e-03     3.0023e-03     1.1501e-02     1.2996e-02     1.7755e-02
    16     7.3140e-04     7.3465e-04     1.1518e-03     5.8219e-03     6.7045e-03     1.0346e-02
    17     2.0675e-04     2.1563e-04     3.8269e-04     2.6286e-03     3.1934e-03     5.7110e-03
    18     4.7938e-05     5.0250e-05     1.0519e-04     1.0134e-03     1.3405e-03     2.9853e-03
    19     9.6876e-06     1.0750e-05     2.6125e-05     3.3408e-04     4.7231e-04     1.4391e-03
    20     1.4063e-06     2.4063e-06     6.2188e-06     8.8978e-05     1.4404e-04     7.0014e-04
