# E2E (this work) W=16 D=1 seed0 100k vs BPAM + adaptive LLS equalizer (MATLAB
# simulator, same scenario). C-band 10.238 km, MZM ER25, TX 20GHz rect + 10GHz Gauss
# (E2E) / 10GHz Gauss (baseline), RX 10GHz Gauss, N_DAC=6. Native EbN0 axis.
# OSNR = Eb/N0 + 2.05 dB (Luca 16/7: signal 1 pol, ASE 2 pol, Bref 12.5 GHz).
# col1=EbN0[dB]  col2=E2E_ideal  col3=E2E_NADC8  col4=E2E_NADC6  col5=E2E_NADC5
    9.00  5.2173e-02  5.3374e-02  5.6151e-02  6.6854e-02
   10.00  3.3737e-02  3.4645e-02  3.7019e-02  4.5887e-02
   11.00  2.0148e-02  2.0870e-02  2.2794e-02  2.9587e-02
   12.00  1.0874e-02  1.1378e-02  1.2747e-02  1.7241e-02
   13.00  5.4114e-03  5.7168e-03  6.8298e-03  1.0454e-02
   14.00  2.3941e-03  2.5555e-03  3.1652e-03  4.7292e-03
   15.00  9.4157e-04  1.0197e-03  1.3834e-03  2.3282e-03
   16.00  3.2488e-04  3.6194e-04  5.3247e-04  9.9432e-04
   17.00  9.7876e-05  1.1356e-04  1.8960e-04  4.2269e-04
   18.00  2.6313e-05  3.1156e-05  6.2157e-05  1.6447e-04
