# osnr  window  lr_sched  BER  ber_amp  ber_phase   (OUR 32-64-16 RX trained on the PROF's 2-sps post-ADC samples)
 15.0   11  cosine  1.2658e-02  1.1255e-02  1.4061e-02
 15.0   11  const   1.2541e-02  1.1114e-02  1.3968e-02
 15.0   21  cosine  1.2646e-02  1.1317e-02  1.3976e-02
 17.0   11  cosine  2.9963e-03  2.2006e-03  3.7921e-03
 17.0   11  const   2.9308e-03  2.1553e-03  3.7062e-03
 17.0   21  cosine  2.9904e-03  2.1672e-03  3.8135e-03
 15.0   11  const   1.0479e-02  9.5391e-03  1.1419e-02  _er30_vp06
 17.0   11  const   2.1350e-03  1.6499e-03  2.6202e-03  _er30_vp06
 15.0   11  const   1.7575e-02  2.9953e-02  5.1975e-03  _er25_vp10
 17.0   11  const   5.0354e-03  9.1910e-03  8.7977e-04  _er25_vp10
 15.0   11  const   1.6618e-02  2.8484e-02  4.7517e-03  _er30_vp10
 17.0   11  const   4.4888e-03  8.2624e-03  7.1526e-04  _er30_vp10
 15.0   11  const   1.0723e-02  1.1836e-02  9.6095e-03  _er30_vp07
 17.0   11  const   2.1064e-03  2.2459e-03  1.9670e-03  _er30_vp07
 15.0   11  const   6.8659e-03  1.0725e-02  3.0065e-03  _er30_vp06_nrz
 17.0   11  const   1.1212e-03  1.8871e-03  3.5524e-04  _er30_vp06_nrz
 15.0   11  const   7.5817e-03  1.1790e-02  3.3736e-03  _er25_vp06_nrz
 17.0   11  const   1.3584e-03  2.2674e-03  4.4942e-04  _er25_vp06_nrz
 13.0   11  const   2.4656e-02  3.5379e-02  1.3933e-02  _er30_vp06_nrz
 19.0   11  const   8.2254e-05  1.4544e-04  1.9074e-05  _er30_vp06_nrz
 11.0   11  const   5.9692e-02  7.8975e-02  4.0408e-02  _er30_vp06_nrz
