# W seed | BER at OSNR 11 12 13 14 15 16 17 18 19 20  (D=1, 100k, DAC6 idealADC, train@14)
  8  0 1.0523e-01 7.8859e-02 5.5992e-02 3.7598e-02 2.3601e-02 1.3634e-02 7.2136e-03 3.4302e-03 1.4617e-03 5.4757e-04
  8  1 1.0417e-01 7.8785e-02 5.6968e-02 3.8873e-02 2.5007e-02 1.5066e-02 8.3329e-03 4.2193e-03 1.9330e-03 7.8866e-04
  8  2 8.5318e-02 6.0254e-02 4.0401e-02 2.5413e-02 1.4665e-02 7.9199e-03 3.8587e-03 1.7068e-03 6.7132e-04 2.4488e-04
 16  0 5.3237e-02 3.4544e-02 2.0711e-02 1.1241e-02 5.6177e-03 2.5050e-03 9.8835e-04 3.4325e-04 1.0425e-04 2.8156e-05
 16  1 9.5795e-02 7.0953e-02 5.0234e-02 3.3526e-02 2.1014e-02 1.2136e-02 6.4591e-03 3.1553e-03 1.3610e-03 5.2657e-04
 16  2 8.3113e-02 6.1526e-02 4.3718e-02 2.9642e-02 1.9122e-02 1.1868e-02 6.8709e-03 3.8258e-03 2.0457e-03 1.0768e-03
 32  0 5.3875e-02 3.5982e-02 2.2280e-02 1.2699e-02 6.6727e-03 3.1590e-03 1.3177e-03 4.9754e-04 1.7313e-04 5.5375e-05
 32  1 4.7212e-02 2.9527e-02 1.7079e-02 8.8664e-03 4.1458e-03 1.7064e-03 5.7960e-04 1.7581e-04 4.3875e-05 7.7813e-06
 32  2 4.6802e-02 2.9733e-02 1.7480e-02 9.3696e-03 4.4763e-03 1.9262e-03 7.2797e-04 2.3797e-04 6.7688e-05 1.6000e-05
 64  0 4.5321e-02 2.8035e-02 1.5713e-02 7.8569e-03 3.4932e-03 1.3219e-03 4.3994e-04 1.2238e-04 2.8375e-05 5.8438e-06
 64  1 4.6149e-02 2.8277e-02 1.5742e-02 7.9021e-03 3.4540e-03 1.3212e-03 4.0828e-04 1.1281e-04 2.2906e-05 3.8750e-06
 64  2 4.3188e-02 2.6015e-02 1.4205e-02 6.9420e-03 2.9582e-03 1.1073e-03 3.5541e-04 8.9032e-05 1.9719e-05 3.5938e-06
