# adc osnr BER_tot BER_amp BER_fase
8 11 5.7793e-02 7.7745e-02 3.7841e-02
8 12 3.8097e-02 5.3585e-02 2.2609e-02
8 13 2.3160e-02 3.4168e-02 1.2152e-02
8 14 1.2649e-02 1.9745e-02 5.5528e-03
8 15 6.2513e-03 1.0232e-02 2.2709e-03
8 16 2.6661e-03 4.5788e-03 7.5340e-04
8 17 9.6560e-04 1.7154e-03 2.1577e-04
8 18 2.7269e-04 5.1200e-04 3.3379e-05
8 19 7.2122e-05 1.3649e-04 7.7486e-06
8 20 1.9968e-05 3.8147e-05 1.7881e-06
6 11 5.9721e-02 7.8954e-02 4.0488e-02
6 12 3.9883e-02 5.4852e-02 2.4914e-02
6 13 2.4471e-02 3.5181e-02 1.3760e-02
6 14 1.3587e-02 2.0465e-02 6.7103e-03
6 15 6.8510e-03 1.0743e-02 2.9588e-03
6 16 2.9415e-03 4.8637e-03 1.0192e-03
6 17 1.1337e-03 1.9085e-03 3.5882e-04
6 18 3.2812e-04 5.6982e-04 8.6427e-05
6 19 8.6725e-05 1.5557e-04 1.7881e-05
6 20 2.6524e-05 4.8280e-05 4.7684e-06
5 11 6.5385e-02 8.2513e-02 4.8256e-02
5 12 4.4682e-02 5.8039e-02 3.1325e-02
5 13 2.8289e-02 3.7589e-02 1.8989e-02
5 14 1.6195e-02 2.2266e-02 1.0124e-02
5 15 8.5467e-03 1.2122e-02 4.9710e-03
5 16 3.9369e-03 5.7364e-03 2.1374e-03
5 17 1.6308e-03 2.3615e-03 9.0003e-04
5 18 5.1111e-04 7.1526e-04 3.0696e-04
5 19 1.5169e-04 2.1756e-04 8.5831e-05
5 20 3.3677e-05 5.4240e-05 1.3113e-05
