# adc osnr BER amp fase
8 11 4.8769e-02 7.3362e-02 2.4177e-02
8 12 3.2154e-02 5.0713e-02 1.3595e-02
8 13 1.9673e-02 3.2540e-02 6.8067e-03
8 14 1.0960e-02 1.8900e-02 3.0200e-03
8 15 5.6792e-03 1.0222e-02 1.1367e-03
8 16 2.5692e-03 4.7433e-03 3.9500e-04
8 17 9.9667e-04 1.8900e-03 1.0333e-04
8 18 2.6750e-04 5.1625e-04 1.8750e-05
8 19 7.5938e-05 1.4750e-04 4.3750e-06
8 20 1.7188e-05 3.3125e-05 1.2500e-06
6 11 5.0882e-02 7.4880e-02 2.6885e-02
6 12 3.3852e-02 5.2048e-02 1.5655e-02
6 13 2.0899e-02 3.3513e-02 8.2850e-03
6 14 1.1770e-02 1.9750e-02 3.7900e-03
6 15 6.1417e-03 1.0728e-02 1.5550e-03
6 16 2.7383e-03 4.9433e-03 5.3333e-04
6 17 1.1125e-03 2.0450e-03 1.8000e-04
6 18 3.0531e-04 5.7625e-04 3.4375e-05
6 19 8.7812e-05 1.6813e-04 7.5000e-06
6 20 1.8125e-05 3.5000e-05 1.2500e-06
5 11 5.6955e-02 7.8745e-02 3.5165e-02
5 12 3.8747e-02 5.5272e-02 2.2223e-02
5 13 2.4436e-02 3.6160e-02 1.2712e-02
5 14 1.3993e-02 2.1288e-02 6.6983e-03
5 15 7.3767e-03 1.1683e-02 3.0700e-03
5 16 3.4333e-03 5.6083e-03 1.2583e-03
5 17 1.4317e-03 2.4333e-03 4.3000e-04
5 18 4.2219e-04 7.3000e-04 1.1438e-04
5 19 1.1187e-04 1.9187e-04 3.1875e-05
5 20 2.4688e-05 4.1250e-05 8.1250e-06
