# variante adc osnr | BER_tot BER_amp BER_fase  (catena prof, TX NRZ)
shared  8 15 6.2561e-03 1.0219e-02 2.2936e-03
split   8 15 6.2388e-03 1.0167e-02 2.3103e-03
single  8 15 6.2657e-03 1.0213e-02 2.3186e-03
shared  6 15 6.8659e-03 1.0725e-02 3.0065e-03
split   6 15 6.7908e-03 1.0699e-02 2.8825e-03
single  6 15 6.8885e-03 1.0760e-02 3.0172e-03
shared  5 15 8.4984e-03 1.2047e-02 4.9496e-03
split   5 15 8.4210e-03 1.1964e-02 4.8780e-03
single  5 15 8.5163e-03 1.2120e-02 4.9126e-03
shared  8 17 9.5189e-04 1.6963e-03 2.0742e-04
split   8 17 9.6738e-04 1.6975e-03 2.3723e-04
single  8 17 9.8407e-04 1.7440e-03 2.2411e-04
shared  6 17 1.0896e-03 1.8489e-03 3.3021e-04
split   6 17 1.1081e-03 1.8561e-03 3.6001e-04
single  6 17 1.1051e-03 1.8537e-03 3.5644e-04
shared  5 17 1.5426e-03 2.2686e-03 8.1658e-04
split   5 17 1.5682e-03 2.2316e-03 9.0480e-04
single  5 17 1.5360e-03 2.2590e-03 8.1301e-04
