# filtro_TX osnr | BER_tot BER_amp BER_fase  (catena del prof + nostra RX-NN)
nrz     13 2.4463e-02 3.5144e-02 1.3782e-02
nrz     15 6.8659e-03 1.0725e-02 3.0065e-03
nrz     17 1.0896e-03 1.8489e-03 3.3021e-04
nrz     19 9.4771e-05 1.5616e-04 3.3379e-05
g10     13 3.2833e-02 3.1896e-02 3.3771e-02
g10     15 1.0479e-02 9.5391e-03 1.1419e-02
g10     17 2.1082e-03 1.6904e-03 2.5260e-03
g10     19 2.4200e-04 1.4663e-04 3.3736e-04
rect20  13 9.7331e-02 5.0256e-02 1.4441e-01
rect20  15 5.9347e-02 1.8719e-02 9.9975e-02
rect20  17 3.4578e-02 4.7505e-03 6.4405e-02
rect20  19 1.9328e-02 8.2612e-04 3.7830e-02
rectg   13 3.2503e-02 3.0096e-02 3.4910e-02
rectg   15 1.0587e-02 8.8835e-03 1.2290e-02
rectg   17 2.2680e-03 1.5378e-03 2.9981e-03
rectg   19 2.9564e-04 1.2994e-04 4.6134e-04
